[DEBUG][2017-02-12 21:35:51,784][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0'
[DEBUG][2017-02-12 21:35:51,784][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,784][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0'
[DEBUG][2017-02-12 21:35:51,784][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0'
[DEBUG][2017-02-12 21:35:51,823][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0' to allow for resolving potential circular references
[DEBUG][2017-02-12 21:35:51,823][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,843][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#57e1eebb'
[DEBUG][2017-02-12 21:35:51,844][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,853][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#57e1eebb'
[DEBUG][2017-02-12 21:35:51,855][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#425598e9'
[DEBUG][2017-02-12 21:35:51,855][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#425598e9'
[DEBUG][2017-02-12 21:35:51,856][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#651dd0bb'
[DEBUG][2017-02-12 21:35:51,865][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#651dd0bb'
[DEBUG][2017-02-12 21:35:51,865][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#773e41b5'
[DEBUG][2017-02-12 21:35:51,866][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#773e41b5'
[DEBUG][2017-02-12 21:35:51,866][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#570efa04'
[DEBUG][2017-02-12 21:35:51,866][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#570efa04'
[DEBUG][2017-02-12 21:35:51,866][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#4936d89b'
[DEBUG][2017-02-12 21:35:51,867][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#4936d89b'
[DEBUG][2017-02-12 21:35:51,870][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#5b7dce68'
[DEBUG][2017-02-12 21:35:51,871][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#5b7dce68'
[DEBUG][2017-02-12 21:35:51,873][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0'
